time="2023-05-11 10:32:14" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-05-11 10:32:53" level=info msg="| 200 |      2.0583ms |             ::1 | GET | / |"
time="2023-05-11 10:32:53" level=info msg="| 200 |      2.4427ms |             ::1 | GET | /install |"
time="2023-05-11 10:32:53" level=info msg="| 404 |            0s |             ::1 | GET | /favicon.ico |"
time="2023-05-11 10:35:21" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-05-11 10:35:32" level=info msg="| 200 |      2.5732ms |             ::1 | GET | / |"
time="2023-05-11 10:35:32" level=info msg="| 200 |       1.608ms |             ::1 | GET | /install |"
time="2023-05-11 10:37:10" level=info msg="start server...\r\ngo：http://0.0.0.0:8081"
time="2023-05-11 10:37:36" level=info msg="| 200 |      2.0576ms |             ::1 | GET | / |"
time="2023-05-11 10:37:42" level=info msg="| 200 |      3.0397ms |             ::1 | GET | /chatIndex?kefu_id=kefu2 |"
time="2023-05-11 10:37:42" level=info msg="| 200 |     14.4404ms |             ::1 | POST | /visitor_login |"
time="2023-05-11 10:37:42" level=info msg="| 200 |      3.5399ms |             ::1 | GET | /2/messagesPages?page=1&pagesize=5&visitor_id=7d27761c-2470-4679-897d-5fddfb51945c |"
time="2023-05-11 10:37:42" level=info msg="| 200 |       543.8µs |             ::1 | GET | /notice?kefu_id=kefu2 |"
time="2023-05-11 10:37:42" level=info msg="| 404 |            0s |             ::1 | GET | /favicon.ico |"
time="2023-05-11 10:37:53" level=info msg="| 200 |      2.3041ms |             ::1 | GET | /login |"
time="2023-05-11 10:38:04" level=info msg="| 200 |     13.5154ms |             ::1 | POST | /2/message |"
time="2023-05-11 10:38:54" level=info msg="| 200 |     305.263ms |             ::1 | POST | /check |"
time="2023-05-11 10:41:36" level=info msg="| 200 |      2.2846ms |             ::1 | POST | /check |"
time="2023-05-11 10:41:36" level=info msg="| 200 |      2.0478ms |             ::1 | GET | /main |"
time="2023-05-11 10:41:36" level=info msg="| 200 |       6.292ms |             ::1 | POST | /check_auth |"
time="2023-05-11 10:41:36" level=info msg="| 200 |      3.3889ms |             ::1 | GET | /chat_main |"
time="2023-05-11 10:41:36" level=info msg="| 200 |     12.9399ms |             ::1 | GET | /kefuinfo |"
time="2023-05-11 10:41:37" level=info msg="| 200 |    309.5226ms |             ::1 | GET | /ipblacks |"
time="2023-05-11 10:41:37" level=info msg="| 200 |    311.0694ms |             ::1 | GET | /replys |"
time="2023-05-11 10:41:37" level=info msg="| 200 |     320.977ms |             ::1 | GET | /visitors_kefu_online |"
time="2023-05-11 10:41:40" level=info msg="| 200 |      1.9975ms |             ::1 | GET | /visitors?page=1 |"
time="2023-05-11 10:41:41" level=info msg="| 200 |      4.8585ms |             ::1 | GET | /visitors_kefu_online |"
time="2023-05-11 10:41:41" level=info msg="| 200 |      2.9533ms |             ::1 | GET | /setting |"
time="2023-05-11 10:41:41" level=info msg="| 200 |    5.1659204s |             ::1 | GET | /ws_kefu?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJjcmVhdGVfdGltZSI6MTY4Mzc3Mjg5Niwia2VmdV9pZCI6MSwibmFtZSI6ImtlZnUyIiwicm9sZV9pZCI6MSwidHlwZSI6ImtlZnUifQ.eRvj6bCTgXhXplSImchg2MbrZjhQZK1ZGSda4npAo3M |"
time="2023-05-11 10:41:41" level=info msg="| 200 |      2.2062ms |             ::1 | GET | /setting_statistics |"
time="2023-05-11 10:41:42" level=info msg="| 200 |      1.4662ms |             ::1 | GET | /statistics |"
